Appareil;Nom=;Four Thermidor Efita;;Numéro de série=;8470479;;Version de logiciel=;5.13;;;
;Adresse MAC=;00:0A:8D:81:3F:CF;;Langue=;fr;;Pays=;FR;;Fuseau horaire=;GMT
Groupe;Group 1;;;;;;;;;;
Pt Froid;Bas=;50;Haut=;550;Unités=;°C;;;;;
% Puissance;Bas=;0;Haut=;100;Unités=;%;;;;;
Regulation;Bas=;50;Haut=;550;Unités=;°C;;;;;
Consigne T°;Bas=;50;Haut=;550;Unités=;°C;;;;;
Pt Chaud;Bas=;50;Haut=;550;Unités=;°C;;;;;
Date/Heure;;Pt Froid;% Puissance;Regulation;Consigne T°;Pt Chaud;;;;;
;;°C;%;°C;°C;°C;;;;;
20/02/2024 18:02:20;;122,3;0;111,6;35;93,4;;;;;
20/02/2024 18:02:30;;122;0;111,2;35;93,1;;;;;
20/02/2024 18:02:40;;121,7;0;111;35;92,7;;;;;
20/02/2024 18:02:50;;121,3;0;110,7;35;92,5;;;;;
20/02/2024 18:03:00;;121;0;110,4;35;92,4;;;;;
20/02/2024 18:03:10;;120,7;0;110,3;35;92,3;;;;;
20/02/2024 18:03:20;;120,3;0;110,1;35;92,1;;;;;
20/02/2024 18:03:30;;120;0;109,7;35;91,9;;;;;
20/02/2024 18:03:40;;119,7;0;109,4;35;91,8;;;;;
20/02/2024 18:03:50;;119,3;0;109,1;35;91,4;;;;;
20/02/2024 18:04:00;;119;0;108,8;35;91;;;;;
20/02/2024 18:04:10;;118,6;0;108,5;35;90,6;;;;;
20/02/2024 18:04:20;;118,3;0;108,2;35;90,6;;;;;
20/02/2024 18:04:30;;117,9;0;107,9;35;90,4;;;;;
20/02/2024 18:04:40;;117,6;0;107,6;35;90,1;;;;;
20/02/2024 18:04:50;;117,3;0;107,3;35;89,9;;;;;
20/02/2024 18:05:00;;116,9;0;107;35;89,7;;;;;
20/02/2024 18:05:10;;116,5;0;106,7;35;89,5;;;;;
20/02/2024 18:05:20;;116,3;0;106,4;35;89,3;;;;;
20/02/2024 18:05:30;;115,9;0;106,1;35;89;;;;;
20/02/2024 18:05:40;;115,6;0;105,8;35;88,9;;;;;
20/02/2024 18:05:50;;115,3;0;105,5;35;88,8;;;;;
20/02/2024 18:06:00;;115;0;105,2;35;88,5;;;;;
20/02/2024 18:06:10;;114,7;0;104,9;35;88,2;;;;;
20/02/2024 18:06:20;;114,3;0;104,6;35;87,8;;;;;
20/02/2024 18:06:30;;114;0;104,2;35;87,5;;;;;
20/02/2024 18:06:40;;113,6;0;103,9;35;87,2;;;;;
20/02/2024 18:06:50;;113,3;0;103,6;35;87;;;;;
20/02/2024 18:07:00;;113,1;0;103,4;35;86,8;;;;;
20/02/2024 18:07:10;;112,7;0;103,1;35;86,6;;;;;
20/02/2024 18:07:20;;112,4;0;102,8;35;86,5;;;;;
20/02/2024 18:07:30;;112,1;0;102,5;35;86,2;;;;;
20/02/2024 18:07:40;;111,7;0;102,2;35;86;;;;;
20/02/2024 18:07:50;;111,5;0;102;35;85,9;;;;;
20/02/2024 18:08:00;;111,2;0;101,7;35;85,9;;;;;
20/02/2024 18:08:10;;110,9;0;101,5;35;85,7;;;;;
20/02/2024 18:08:20;;110,6;0;101,3;35;85,5;;;;;
20/02/2024 18:08:30;;110,4;0;101;35;85,1;;;;;
20/02/2024 18:08:40;;110,1;0;100,7;35;84,9;;;;;
20/02/2024 18:08:50;;109,8;0;100,4;35;84,8;;;;;
20/02/2024 18:09:00;;109,5;0;100,2;35;84,6;;;;;
20/02/2024 18:09:10;;109,2;0;99,9;35;84,5;;;;;
20/02/2024 18:09:20;;109;0;99,6;35;83,7;;;;;
20/02/2024 18:09:30;;108,5;0;99,5;35;82,3;;;;;
20/02/2024 18:09:40;;107,8;0;99,4;35;80,9;;;;;
20/02/2024 18:09:50;;104,6;0;99,1;35;79,8;;;;;
20/02/2024 18:10:00;;101;0;98,6;35;78,7;;;;;
20/02/2024 18:10:10;;97,8;0;98;35;77,6;;;;;
20/02/2024 18:10:20;;94,9;0;97,4;35;76,7;;;;;
20/02/2024 18:10:30;;92,8;0;96,9;35;75,8;;;;;
20/02/2024 18:10:40;;90,7;0;96,5;35;75,1;;;;;
20/02/2024 18:10:50;;88,8;0;95,9;35;74,4;;;;;
20/02/2024 18:11:00;;87,4;0;95,6;35;73,7;;;;;
20/02/2024 18:11:10;;86,2;0;95,1;35;73,1;;;;;
20/02/2024 18:11:20;;85,1;0;94,7;35;72,5;;;;;
20/02/2024 18:11:30;;84;0;94,4;35;71,9;;;;;
20/02/2024 18:11:40;;83,1;0;93,9;35;71,4;;;;;
20/02/2024 18:11:50;;82,2;0;93,5;35;70,9;;;;;
20/02/2024 18:12:00;;81,5;0;93,1;35;70,4;;;;;
20/02/2024 18:12:10;;80,8;0;92,8;35;70;;;;;
20/02/2024 18:12:20;;80,1;0;92,4;35;69,6;;;;;
20/02/2024 18:12:30;;79,3;0;92;35;69,1;;;;;
20/02/2024 18:12:40;;78,5;0;91,6;35;68,6;;;;;
